Occupation,"Number
of
workers","Median
weekly
earnings",Standard error of median
"Total, full-time wage and salary workers","64,142",$973 ,$3 
"Management, professional, and related occupations","23,685","1,468",8
Business and financial operations occupations,"2,914","1,383",22
Professional and related occupations,"13,017","1,425",9
Architecture and engineering occupations,"2,541","1,528",16
Community and social service occupations,754,984,21
Legal occupations,651,"1,910",31
"Education, training, and library occupations","1,915","1,235",17
"Arts, design, entertainment, sports, and media occupations","1,052","1,151",14
Healthcare practitioners and technical occupations,"1,800","1,383",27
Service occupations,"7,948",641,6
Food preparation and serving related occupations,"2,210",533,9
Building and grounds cleaning and maintenance occupations,"2,373",604,5
Personal care and service occupations,746,638,25
Sales and office occupations,"9,548",846,8
Office and administrative support occupations,"3,926",738,8
"Natural resources, construction, and maintenance occupations","11,030",834,7
"Installation, maintenance, and repair occupations","4,140",936,9
"Production, transportation, and material moving occupations","11,932",762,5
Transportation and material moving occupations,"6,305",724,7
