"Table 21. Inflation-adjusted median hourly earnings, by race and Hispanic or Latino ethnicity, for wage and salary workers paid hourly rates, 1979-2018 annual averages",,,,,
[In constant 2018 dollars],,,,,
,,,,,
Year,"Total,
16 years
and older",White,Black or African American,Asian,Hispanic or Latino ethnicity
,,,,,
Total,,,,,
1979,$14.37,$14.60,$13.30,–,$13.20
1980,14.01,14.19,12.91,–,12.91
1981,13.70,13.78,13.03,–,12.79
1982,13.53,13.71,12.68,–,12.56
1983,13.44,13.61,12.38,–,12.24
1984,13.46,13.63,12.38,–,12.17
1985,13.46,13.62,12.28,–,12.21
1986,13.60,13.77,12.72,–,12.39
1987,13.71,13.90,12.69,–,12.33
1988,13.76,13.93,12.58,–,12.17
1989,13.71,13.88,12.61,–,11.90
1990,13.51,13.70,12.73,–,11.74
1991,13.51,13.71,12.61,–,11.64
1992,13.59,13.77,12.43,–,11.71
1993,13.50,13.67,12.32,–,11.72
1994,13.46,13.63,12.25,–,11.65
1995,13.42,13.66,12.58,–,11.49
1996,13.44,13.71,12.42,–,11.47
1997,13.69,13.90,12.54,–,11.56
1998,14.04,14.23,12.95,–,12.22
1999,14.42,14.74,13.39,–,12.21
2000,14.49,14.56,13.65,$14.72,12.49
2001,14.50,14.59,13.91,15.29,12.89
2002,14.66,15.00,13.91,14.51,12.91
2003,14.84,15.01,13.89,15.21,13.35
2004,14.67,14.84,13.59,14.80,13.08
2005,14.42,14.79,13.11,15.48,12.82
2006,14.68,14.81,13.31,15.64,12.63
2007,14.50,14.66,13.22,14.83,12.43
2008,14.30,14.67,13.10,15.22,12.83
2009,14.60,14.86,13.66,15.45,12.96
2010,14.43,14.71,13.59,15.27,12.56
2011,14.22,14.44,13.19,14.93,12.36
2012,14.02,14.28,12.97,14.49,12.18
2013,13.96,14.20,12.85,14.71,12.15
2014,13.95,14.41,12.61,14.86,12.56
2015,14.25,14.71,12.79,15.05,12.77
2016,14.64,14.90,13.06,15.47,13.27
2017,14.99,15.26,13.22,15.43,13.48
2018,14.99,15.16,13.64,15.24,13.99
,,,,,
Women,,,,,
1979,11.72,11.72,11.49,–,11.13
1980,11.48,11.51,11.28,–,10.99
1981,11.38,11.38,11.14,–,10.90
1982,11.55,11.55,11.25,–,10.85
1983,11.54,11.56,11.35,–,10.62
1984,11.48,11.50,11.25,–,10.74
1985,11.45,11.47,11.25,–,10.76
1986,11.69,11.73,11.34,–,10.96
1987,11.86,11.91,11.44,–,10.83
1988,11.94,11.98,11.47,–,10.80
1989,11.98,12.02,11.53,–,10.84
1990,12.04,12.07,11.64,–,10.84
1991,12.16,12.18,11.80,–,10.77
1992,12.25,12.31,11.69,–,10.86
1993,12.21,12.28,11.78,–,10.82
1994,12.18,12.34,11.65,–,10.76
1995,12.25,12.38,11.69,–,10.84
1996,12.37,12.46,11.52,–,10.83
1997,12.43,12.52,11.88,–,10.67
1998,12.70,12.85,12.19,–,11.14
1999,13.07,13.21,12.30,–,11.29
2000,13.25,13.29,12.95,14.28,11.54
2001,13.71,13.84,13.02,14.32,11.78
2002,13.85,13.92,13.24,14.15,11.96
2003,13.79,13.83,13.56,14.61,12.15
2004,13.56,13.61,13.24,14.09,12.05
2005,13.29,13.53,12.80,15.00,11.83
2006,13.30,13.45,12.62,14.92,11.86
2007,13.33,13.42,12.68,14.36,11.89
2008,13.44,13.68,12.61,14.33,11.78
2009,13.80,13.88,12.92,14.87,11.84
2010,13.66,13.72,12.93,14.33,11.67
2011,13.40,13.48,12.62,14.32,11.47
2012,13.13,13.23,12.30,13.96,11.18
2013,13.09,13.19,12.46,14.08,11.33
2014,12.93,13.14,12.28,14.04,11.38
2015,13.32,13.59,12.41,14.63,11.75
2016,13.61,13.81,12.65,14.72,12.33
2017,13.89,14.21,12.86,14.58,12.39
2018,14.06,14.27,13.02,14.95,12.80
,,,,,
Men,,,,,
1979,18.28,18.74,15.83,–,15.50
1980,17.73,18.11,15.06,–,14.62
1981,17.47,17.85,15.45,–,14.28
1982,17.17,17.49,14.96,–,14.36
1983,16.63,17.00,14.33,–,13.97
1984,16.44,16.77,14.23,–,13.95
1985,16.36,16.92,13.73,–,13.55
1986,16.64,17.06,14.41,–,13.57
1987,16.46,16.80,14.28,–,13.50
1988,16.18,16.48,14.19,–,13.31
1989,15.88,16.24,13.86,–,13.06
1990,15.46,15.98,13.78,–,12.60
1991,15.48,15.89,13.64,–,12.40
1992,15.26,15.65,13.42,–,12.31
1993,15.20,15.56,13.16,–,12.21
1994,15.13,15.48,13.31,–,12.05
1995,15.16,15.80,13.40,–,11.92
1996,15.23,15.66,13.09,–,12.19
1997,15.38,15.59,13.57,–,12.36
1998,15.52,15.71,14.03,–,12.72
1999,15.60,16.05,14.78,–,13.03
2000,15.80,16.01,14.59,15.77,13.22
2001,16.10,16.51,14.48,16.84,13.76
2002,16.30,16.61,14.34,15.43,13.89
2003,16.27,16.46,14.79,16.27,13.72
2004,16.03,16.21,14.51,15.87,13.36
2005,15.67,16.07,14.05,16.43,13.13
2006,15.83,16.08,14.26,16.45,13.53
2007,15.72,16.04,14.04,16.04,13.43
2008,15.74,16.20,14.02,16.41,13.84
2009,16.15,16.37,14.40,16.44,13.99
2010,15.89,16.13,14.04,16.29,13.55
2011,15.44,15.68,13.49,15.94,13.21
2012,15.20,15.52,13.36,15.50,13.10
2013,15.12,15.38,13.13,15.38,12.95
2014,15.28,15.77,12.96,15.56,13.14
2015,15.56,15.83,13.43,15.77,13.70
2016,15.65,15.83,13.66,15.73,14.47
2017,15.57,16.18,13.67,17.06,14.72
2018,16.01,16.53,14.22,16.69,15.01
,,,,,
"Note: The comparability of historical labor force data has been affected at various times by methodological and other changes in the Current Population Survey (CPS). Information about historical comparability is online at https://www.bls.gov/cps/documentation.htm#comp. As of 2003, estimates for the race groups shown (White, Black or African American, and Asian) include people who selected that race group only; people who selected more than one race group are not included. Prior to 2003, people who reported more than one race were included in the group they identified as the main race. Asian data for 2000-2002 are for Asians and Pacific Islanders. As of 2003, Asians constitute a separate category. Data for Asians were not tabulated prior to 2000. People of Hispanic or Latino ethnicity may be of any race; estimates for the race groups include Hispanics. The Consumer Price Index research series using current methods (CPI-U-RS) is used to convert current dollars to constant (inflation-adjusted) dollars. See the technical notes section. Dash indicates data not available.
 Source: U.S. Bureau of Labor Statistics.",,,,,
